match_id,team_1,team_2,team_1_runs,team_2_runs,winner,venue,toss_winner,toss_decision,team_1_avg_runs,team_2_avg_runs,team_1_won_toss,team_1_batted_first,venue_encoded,team_1_won
1115804,New Zealand,Pakistan,257,74,New Zealand,University Oval,New Zealand,bat,234.99731903485255,237.21428571428572,1,1,280,1
1115805,Pakistan,New Zealand,262,263,New Zealand,Seddon Park,Pakistan,bat,237.21428571428572,234.99731903485255,1,1,226,0
1115806,New Zealand,Pakistan,271,256,New Zealand,Basin Reserve,New Zealand,bat,234.99731903485255,237.21428571428572,1,1,20,1
1119496,India,Australia,281,137,India,"MA Chidambaram Stadium, Chepauk",India,bat,247.694,246.49891540130153,1,1,140,1
1119497,India,Australia,252,202,India,Eden Gardens,India,bat,247.694,246.49891540130153,1,1,77,1
1119498,Australia,India,293,294,India,Holkar Cricket Stadium,Australia,bat,246.49891540130153,247.694,1,1,108,0
1119499,Australia,India,334,313,Australia,M.Chinnaswamy Stadium,Australia,bat,246.49891540130153,247.694,1,1,137,1
1119500,Australia,India,242,243,India,"Vidarbha Cricket Association Stadium, Jamtha",Australia,bat,246.49891540130153,247.694,1,1,287,0
1119537,Australia,England,214,218,England,Kennington Oval,Australia,bat,246.49891540130153,241.78454332552693,1,1,123,0
1119538,England,Australia,342,304,England,Sophia Gardens,Australia,field,241.78454332552693,246.49891540130153,0,1,248,1
1119539,England,Australia,481,239,England,Trent Bridge,Australia,field,241.78454332552693,246.49891540130153,0,1,275,1
1119540,Australia,England,310,314,England,Riverside Ground,Australia,bat,246.49891540130153,241.78454332552693,1,1,212,0
1119541,Australia,England,205,208,England,Old Trafford,Australia,bat,246.49891540130153,241.78454332552693,1,1,186,0
1119546,England,India,268,269,India,Trent Bridge,India,field,241.78454332552693,247.694,0,1,275,0
1119547,England,India,322,236,England,Lord's,England,bat,241.78454332552693,247.694,1,1,133,1
1119548,India,England,256,260,England,Headingley,England,field,247.694,241.78454332552693,0,1,104,0
1120090,India,New Zealand,280,284,New Zealand,Wankhede Stadium,India,bat,247.694,234.99731903485255,1,1,292,0
1120091,New Zealand,India,230,232,India,Maharashtra Cricket Association Stadium,New Zealand,bat,234.99731903485255,247.694,1,1,144,0
1120092,India,New Zealand,337,331,India,Green Park,New Zealand,field,247.694,234.99731903485255,0,1,95,1
