match_id,innings,batting_team,total_runs,wickets,ball_faced
66377,1,Australia,269,6,310
66377,2,Pakistan,259,10,296
66378,1,Pakistan,292,7,314
66378,2,Zimbabwe,148,10,239
66379,1,Zimbabwe,252,4,317
66379,2,Pakistan,258,7,303
66380,1,Sri Lanka,232,9,310
66380,2,Pakistan,233,2,295
66381,1,Zimbabwe,104,10,207
66381,2,Sri Lanka,108,3,115
66383,1,Sri Lanka,287,7,311
66383,2,Pakistan,168,10,237
66385,1,Australia,246,9,305
66385,2,New Zealand,247,6,301
66386,1,Australia,261,7,310
66386,2,New Zealand,244,10,292
208835,1,West Indies,152,7,304
208835,2,South Africa,124,2,166
209339,1,West Indies,138,7,122
209339,2,South Africa,141,3,120
209582,1,Pakistan,192,10,277
209582,2,West Indies,133,10,282
209768,1,Pakistan,303,6,303
209768,2,West Indies,281,10,310
211244,1,Bangladesh,190,10,280
211244,2,England,192,0,154
211364,1,Australia,249,5,310
211364,2,Bangladesh,250,5,304
211678,1,Australia,266,5,313
211678,2,England,209,9,309
211824,1,Bangladesh,139,10,222
211824,2,Australia,140,0,117
211860,1,Bangladesh,208,7,312
211860,2,England,209,5,236
212020,1,Australia,261,9,305
212020,2,England,37,1,37
212253,1,Bangladesh,250,8,314
212253,2,Australia,254,4,297
212452,1,Australia,196,10,303
212452,2,England,196,9,305
213288,1,England,228,7,309
213288,2,Australia,229,2,217
214742,1,West Indies,178,10,290
214742,2,India,180,4,230
214852,1,Sri Lanka,241,6,311
214852,2,West Indies,191,10,279
215134,1,West Indies,226,7,305
215134,2,Sri Lanka,193,10,297
216271,1,Africa XI,198,10,280
216271,2,Asia XI,196,10,307
216669,1,Africa XI,106,10,200
216669,2,Asia XI,8,2,20
217481,1,India,226,6,312
217481,2,Zimbabwe,65,10,156
217647,1,Sri Lanka,269,9,316
217647,2,Bangladesh,181,9,314
217648,1,New Zealand,238,10,308
217648,2,Zimbabwe,211,10,304
217979,1,Zimbabwe,250,10,306
217979,2,India,255,6,300
218250,1,India,276,10,309
218250,2,New Zealand,278,4,295
221083,1,Australia,328,4,306
221083,2,ICC World XI,273,10,282
221337,1,Australia,293,5,308
221337,2,ICC World XI,137,10,176
223018,1,India,350,6,308
223018,2,Sri Lanka,198,10,222
223334,1,Sri Lanka,122,10,222
223334,2,India,123,2,125
223335,1,South Africa,201,9,307
223335,2,New Zealand,182,10,293
223542,1,New Zealand,243,9,310
223542,2,South Africa,245,6,298
223902,1,Sri Lanka,261,10,304
223902,2,India,262,6,280
224044,1,South Africa,79,2,126
224227,1,New Zealand,215,10,308
224227,2,South Africa,140,5,173
224231,1,India,285,8,313
224231,2,Sri Lanka,286,5,300
224556,1,Sri Lanka,196,10,260
224556,2,India,197,3,220
225171,1,England,301,7,315
225171,2,Ireland,263,9,318
225245,1,England,202,10,311
225245,2,Pakistan,46,1,45
225246,1,England,166,10,243
225246,2,Pakistan,169,3,227
225247,1,England,271,9,307
225247,2,Pakistan,274,8,310
225248,1,Pakistan,235,8,311
225248,2,England,237,2,289
225249,1,Pakistan,154,9,313
225249,2,England,155,7,194
225250,1,Sri Lanka,257,9,326
225250,2,England,237,9,305
225251,1,Sri Lanka,319,8,321
225251,2,England,273,10,287
225252,1,England,261,7,308
225252,2,Sri Lanka,265,2,264
225253,1,Sri Lanka,318,7,320
