match_id,team_1,team_2,team_1_runs,team_2_runs,winner,venue,toss_winner,toss_decision
65276,Kenya,India,225,226,India,"Newlands, Cape Town",Kenya,bat
65277,Zimbabwe,New Zealand,252,253,New Zealand,"Goodyear Park, Bloemfontein",Zimbabwe,bat
65278,India,Sri Lanka,292,109,India,"New Wanderers Stadium, Johannesburg",Sri Lanka,field
65279,Australia,New Zealand,208,112,Australia,"St George's Park, Port Elizabeth",New Zealand,field
65280,Zimbabwe,Kenya,133,135,Kenya,"Goodyear Park, Bloemfontein",Zimbabwe,bat
65281,New Zealand,India,146,150,India,"SuperSport Park, Centurion",India,field
65282,Sri Lanka,Zimbabwe,256,182,Sri Lanka,"Buffalo Park, East London",Sri Lanka,bat
65283,Kenya,Australia,174,178,Australia,"Kingsmead, Durban",Australia,field
65284,Australia,Sri Lanka,212,123,Australia,"St George's Park, Port Elizabeth",Australia,bat
65285,India,Kenya,270,179,India,"Kingsmead, Durban",India,bat
65286,Australia,India,359,234,Australia,"New Wanderers Stadium, Johannesburg",India,field
65634,Sri Lanka,Australia,343,264,Sri Lanka,Sydney Cricket Ground,Australia,field
65635,Australia,England,271,264,Australia,"Bellerive Oval, Hobart",Australia,bat
65636,Sri Lanka,England,284,253,Sri Lanka,Sydney Cricket Ground,Sri Lanka,bat
65637,Sri Lanka,Australia,211,214,Australia,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Sri Lanka,bat
65638,England,Sri Lanka,279,260,England,Adelaide Oval,England,bat
65639,England,Australia,152,153,Australia,Adelaide Oval,England,bat
65640,Sri Lanka,Australia,214,215,Australia,Melbourne Cricket Ground,Sri Lanka,bat
65641,England,Australia,117,118,Australia,Sydney Cricket Ground,England,bat
65642,Australia,England,229,224,Australia,Melbourne Cricket Ground,Australia,bat
65643,Australia,India,288,270,Australia,Melbourne Cricket Ground,Australia,bat
65644,Australia,Zimbabwe,225,126,Australia,Sydney Cricket Ground,Australia,bat
65645,Zimbabwe,India,208,211,India,Bellerive Oval,Zimbabwe,bat
65646,Australia,Zimbabwe,344,196,Australia,Bellerive Oval,Australia,bat
65647,India,Australia,303,284,India,Brisbane Cricket Ground,India,bat
65648,India,Zimbabwe,255,231,India,Brisbane Cricket Ground,India,bat
65649,India,Australia,296,225,India,Sydney Cricket Ground,India,bat
65653,India,Australia,203,204,Australia,W.A.C.A. Ground,India,bat
65655,India,Australia,222,224,Australia,Melbourne Cricket Ground,India,bat
65656,Australia,India,359,151,Australia,Sydney Cricket Ground,Australia,bat
65659,West Indies,Pakistan,273,274,Pakistan,"Brisbane Cricket Ground, Woolloongabba",Pakistan,field
65660,West Indies,Australia,263,43,West Indies,"Brisbane Cricket Ground, Woolloongabba",West Indies,bat
65661,Pakistan,Australia,163,167,Australia,Sydney Cricket Ground,Australia,field
65662,Australia,West Indies,269,196,Australia,Adelaide Oval,Australia,bat
65664,Australia,Pakistan,265,268,Pakistan,W.A.C.A. Ground,Australia,bat
65665,Pakistan,West Indies,307,277,Pakistan,W.A.C.A. Ground,West Indies,field
65666,Australia,Pakistan,237,219,Australia,Melbourne Cricket Ground,Australia,bat
65708,Pakistan,Bangladesh,257,181,Pakistan,Sinhalese Sports Club,Pakistan,bat
65713,Pakistan,Sri Lanka,122,123,Sri Lanka,R.Premadasa Stadium,Pakistan,bat
65714,Bangladesh,Sri Lanka,190,191,Sri Lanka,R.Premadasa Stadium,Bangladesh,bat
65716,India,Sri Lanka,271,267,India,R.Premadasa Stadium,India,bat
65718,Sri Lanka,India,228,203,Sri Lanka,R.Premadasa Stadium,Sri Lanka,bat
65803,Pakistan,Zimbabwe,278,210,Pakistan,Sharjah Cricket Association Stadium,Pakistan,bat
65804,Sri Lanka,Pakistan,223,225,Pakistan,Sharjah Cricket Association Stadium,Sri Lanka,bat
65805,Kenya,Zimbabwe,225,230,Zimbabwe,Sharjah Cricket Association Stadium,Kenya,bat
65806,Sri Lanka,Kenya,256,127,Sri Lanka,Sharjah Cricket Association Stadium,Sri Lanka,bat
65807,Sri Lanka,Zimbabwe,193,194,Zimbabwe,Sharjah Cricket Association Stadium,Sri Lanka,bat
65808,Pakistan,Kenya,286,143,Pakistan,Sharjah Cricket Association Stadium,Pakistan,bat
65809,Zimbabwe,Pakistan,168,172,Pakistan,Sharjah Cricket Association Stadium,Zimbabwe,bat
66196,England,Zimbabwe,299,147,England,Edgbaston,Zimbabwe,field
66197,New Zealand,United States of America,347,137,New Zealand,Kennington Oval,United States of America,field
66198,India,Kenya,290,192,India,The Rose Bowl,Kenya,field
66200,United States of America,Australia,65,66,Australia,The Rose Bowl,Australia,field
66201,Zimbabwe,Sri Lanka,191,195,Sri Lanka,Kennington Oval,Sri Lanka,field
66202,Kenya,Pakistan,94,95,Pakistan,Edgbaston,Pakistan,field
66203,West Indies,Bangladesh,269,131,West Indies,The Rose Bowl,Bangladesh,field
66204,New Zealand,Australia,198,199,Australia,Kennington Oval,Australia,field
66205,England,Sri Lanka,251,95,England,The Rose Bowl,Sri Lanka,field
66206,South Africa,West Indies,246,249,West Indies,Kennington Oval,West Indies,field
66207,India,Pakistan,200,201,Pakistan,Edgbaston,Pakistan,field
66208,Australia,England,259,262,England,Edgbaston,England,field
66209,Pakistan,West Indies,131,132,West Indies,The Rose Bowl,Pakistan,bat
66210,England,West Indies,217,218,West Indies,Kennington Oval,West Indies,field
66283,England,Sri Lanka,293,249,England,"Trent Bridge, Nottingham",England,bat
66284,England,India,271,272,India,"Lord's, London",England,bat
66293,England,Zimbabwe,191,195,Zimbabwe,"Trent Bridge, Nottingham",Zimbabwe,field
66294,South Africa,England,264,265,England,"Kennington Oval, London",South Africa,bat
66295,South Africa,Zimbabwe,272,226,South Africa,"St Lawrence Ground, Canterbury",Zimbabwe,field
66297,England,South Africa,223,227,South Africa,"Old Trafford, Manchester",England,bat
66299,Zimbabwe,England,92,95,England,"The Royal & Sun Alliance County Ground, Bristol",England,field
66301,Zimbabwe,South Africa,173,174,South Africa,"The Rose Bowl, Southampton",Zimbabwe,bat
66302,South Africa,England,107,111,England,"Lord's, London",England,field
66304,England,West Indies,147,148,West Indies,Trent Bridge,West Indies,field
66305,England,New Zealand,101,103,New Zealand,Riverside Ground,New Zealand,field
66306,West Indies,England,159,160,England,Headingley,England,field
66309,England,West Indies,285,286,West Indies,Lord's,West Indies,field
66311,New Zealand,West Indies,266,159,New Zealand,Lord's,West Indies,field
66357,Pakistan,Sri Lanka,199,120,Pakistan,Rangiri Dambulla International Stadium,Sri Lanka,field
66358,Pakistan,New Zealand,116,117,New Zealand,Rangiri Dambulla International Stadium,New Zealand,field
66361,New Zealand,Sri Lanka,156,147,New Zealand,Rangiri Dambulla International Stadium,Sri Lanka,field
66363,Pakistan,New Zealand,198,200,New Zealand,Rangiri Dambulla International Stadium,Pakistan,bat
66365,India,Australia,283,246,India,"Captain Roop Singh Stadium, Gwalior",India,bat
66366,New Zealand,Australia,97,101,Australia,"Nahar Singh Stadium, Faridabad",New Zealand,bat
66367,Australia,India,286,209,Australia,"Wankhede Stadium, Mumbai",Australia,bat
66368,New Zealand,Australia,258,259,Australia,"Nehru Stadium, Poona",Australia,field
66369,India,New Zealand,246,249,New Zealand,"Barabati Stadium, Cuttack",India,bat
66372,India,New Zealand,353,208,India,"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",India,bat
66374,Pakistan,India,192,127,Pakistan,VRA Cricket Ground,India,field
66377,Australia,Pakistan,269,259,Australia,Lord's,Pakistan,field
66378,Pakistan,Zimbabwe,292,148,Pakistan,Multan Cricket Stadium,Pakistan,bat
66379,Zimbabwe,Pakistan,252,258,Pakistan,Arbab Niaz Stadium,Pakistan,field
66380,Sri Lanka,Pakistan,232,233,Pakistan,National Stadium,Sri Lanka,bat
66381,Zimbabwe,Sri Lanka,104,108,Sri Lanka,Rawalpindi Cricket Stadium,Sri Lanka,field
66383,Sri Lanka,Pakistan,287,168,Sri Lanka,Gaddafi Stadium,Pakistan,field
66385,Australia,New Zealand,246,247,New Zealand,Docklands Stadium,New Zealand,field
66386,Australia,New Zealand,261,244,Australia,Sydney Cricket Ground,Australia,bat
208835,West Indies,South Africa,152,124,West Indies,"Sabina Park, Kingston",South Africa,field
209339,West Indies,South Africa,138,141,South Africa,"Queen's Park Oval, Port of Spain",South Africa,field
209582,Pakistan,West Indies,192,133,Pakistan,"Arnos Vale Ground, Kingstown",West Indies,field
209768,Pakistan,West Indies,303,281,Pakistan,"Daren Sammy National Cricket Stadium, Gros Islet",West Indies,field
211244,Bangladesh,England,190,192,England,Kennington Oval,England,field
211364,Australia,Bangladesh,249,250,Bangladesh,Sophia Gardens,Australia,bat
211678,Australia,England,266,209,Australia,Riverside Ground,England,field
211824,Bangladesh,Australia,139,140,Australia,Old Trafford,Australia,field
211860,Bangladesh,England,208,209,England,Headingley,Bangladesh,bat
212020,Australia,England,261,37,Australia,Edgbaston,Australia,bat
212253,Bangladesh,Australia,250,254,Australia,St Lawrence Ground,Australia,field
212452,Australia,England,196,196,England,Lord's,England,field
213288,England,Australia,228,229,Australia,Kennington Oval,Australia,field
214742,West Indies,India,178,180,India,Rangiri Dambulla International Stadium,West Indies,bat
214852,Sri Lanka,West Indies,241,191,Sri Lanka,Rangiri Dambulla International Stadium,Sri Lanka,bat
215134,West Indies,Sri Lanka,226,193,West Indies,"R.Premadasa Stadium, Khettarama",West Indies,bat
216271,Africa XI,Asia XI,198,196,Africa XI,SuperSport Park,Asia XI,field
216669,Africa XI,Asia XI,106,8,Africa XI,Kingsmead,Africa XI,bat
217481,India,Zimbabwe,226,65,India,Harare Sports Club,Zimbabwe,field
217647,Sri Lanka,Bangladesh,269,181,Sri Lanka,Sinhalese Sports Club Ground,Bangladesh,field
217648,New Zealand,Zimbabwe,238,211,New Zealand,Harare Sports Club,New Zealand,bat
217979,Zimbabwe,India,250,255,India,Harare Sports Club,India,field
218250,India,New Zealand,276,278,New Zealand,Harare Sports Club,India,bat
221083,Australia,ICC World XI,328,273,Australia,Docklands Stadium,Australia,bat
221337,Australia,ICC World XI,293,137,Australia,Docklands Stadium,Australia,bat
223018,India,Sri Lanka,350,198,India,Vidarbha C.A. Ground,India,bat
223334,Sri Lanka,India,122,123,India,"Punjab Cricket Association IS Bindra Stadium, Mohali",India,field
223335,South Africa,New Zealand,201,182,South Africa,Newlands,South Africa,bat
223542,New Zealand,South Africa,243,245,South Africa,St George's Park,South Africa,field
223902,Sri Lanka,India,261,262,India,Nehru Stadium,India,field
224227,New Zealand,South Africa,215,140,New Zealand,SuperSport Park,South Africa,field
224231,India,Sri Lanka,285,286,Sri Lanka,"Sardar Patel (Gujarat) Stadium, Motera",Sri Lanka,field
224556,Sri Lanka,India,196,197,India,Madhavrao Scindia Cricket Ground,India,field
225171,England,Ireland,301,263,England,"Civil Service Cricket Club, Stormont",England,bat
225245,England,Pakistan,202,46,England,Sophia Gardens,Pakistan,field
225246,England,Pakistan,166,169,Pakistan,Lord's,Pakistan,field
225247,England,Pakistan,271,274,Pakistan,The Rose Bowl,Pakistan,field
225248,Pakistan,England,235,237,England,Trent Bridge,Pakistan,bat
225249,Pakistan,England,154,155,England,Edgbaston,England,field
225250,Sri Lanka,England,257,237,Sri Lanka,Lord's,England,field
225251,Sri Lanka,England,319,273,Sri Lanka,Kennington Oval,Sri Lanka,bat
225252,England,Sri Lanka,261,265,Sri Lanka,Riverside Ground,England,bat
225253,Sri Lanka,England,318,285,Sri Lanka,Old Trafford,Sri Lanka,bat
225254,England,Sri Lanka,321,324,Sri Lanka,Headingley,England,bat
225437,Sri Lanka,India,244,245,India,Reliance Stadium,Sri Lanka,bat
225959,India,South Africa,249,252,South Africa,"Rajiv Gandhi International Stadium, Uppal",South Africa,field
226352,England,Pakistan,327,285,England,Gaddafi Stadium,England,bat
226354,Pakistan,England,353,188,Pakistan,National Stadium,England,field
226356,England,Pakistan,206,200,England,Rawalpindi Cricket Stadium,England,bat
226359,South Africa,India,221,224,India,Wankhede Stadium,India,field
226364,Australia,New Zealand,252,105,Australia,Eden Park,New Zealand,field
226375,Australia,South Africa,228,231,South Africa,"Brisbane Cricket Ground, Woolloongabba",Australia,bat
226376,Australia,South Africa,245,186,Australia,Docklands Stadium,Australia,bat
226377,Australia,South Africa,281,201,Australia,Docklands Stadium,Australia,bat
226378,Australia,South Africa,344,287,Australia,Sydney Cricket Ground,Australia,bat
226380,Sri Lanka,Australia,309,258,Sri Lanka,Sydney Cricket Ground,Sri Lanka,bat
226381,Sri Lanka,Australia,218,219,Australia,Adelaide Oval,Sri Lanka,bat
226382,Sri Lanka,Australia,233,237,Australia,Western Australia Cricket Association Ground,Sri Lanka,bat
226383,Sri Lanka,South Africa,282,188,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",South Africa,field
226384,South Africa,Sri Lanka,263,254,South Africa,Adelaide Oval,South Africa,bat
